,index,qtype,story,perceivers,story_with_perceivers
335,338,second_order_0_no_tom,"['Abigail entered the back yard', 'William entered the back yard', 'The radish is in the cupboard', 'The cupboard is in the back yard', 'William moved the radish to the bucket', 'The bucket is in the back yard', 'Owen entered the back yard', 'Abigail exited the back yard', 'William exited the back yard', 'William hates the tomato', 'Abigail entered the back yard']","[['Abigail'], ['William', 'Abigail'], ['Abigail', 'William'], ['Abigail', 'William'], ['William', 'Abigail'], ['Abigail', 'William'], ['Owen', 'Abigail', 'William'], ['Abigail', 'William', 'Owen'], ['William', 'Owen'], ['William'], ['Abigail', 'Owen']]","[{'Abigail entered the back yard': ['Abigail']}, {'William entered the back yard': ['William', 'Abigail']}, {'The radish is in the cupboard': ['Abigail', 'William']}, {'The cupboard is in the back yard': ['Abigail', 'William']}, {'William moved the radish to the bucket': ['William', 'Abigail']}, {'The bucket is in the back yard': ['Abigail', 'William']}, {'Owen entered the back yard': ['Owen', 'Abigail', 'William']}, {'Abigail exited the back yard': ['Abigail', 'William', 'Owen']}, {'William exited the back yard': ['William', 'Owen']}, {'William hates the tomato': ['William']}, {'Abigail entered the back yard': ['Abigail', 'Owen']}]"
336,339,first_order_1_no_tom,"['Amelia entered the hall', 'Logan entered the hall', 'The cap is in the container', 'The container is in the hall', 'Logan moved the cap to the drawer', 'The drawer is in the hall', 'Emma entered the hall', 'Emma exited the hall', 'Amelia exited the hall', 'Logan exited the hall', 'Amelia entered the hall']","[['Amelia'], ['Logan', 'Amelia'], ['Amelia', 'Logan'], ['Amelia', 'Logan'], ['Logan', 'Amelia'], ['Amelia', 'Logan'], ['Emma', 'Amelia', 'Logan'], ['Emma', 'Amelia', 'Logan'], ['Amelia', 'Logan'], ['Logan'], ['Amelia']]","[{'Amelia entered the hall': ['Amelia']}, {'Logan entered the hall': ['Logan', 'Amelia']}, {'The cap is in the container': ['Amelia', 'Logan']}, {'The container is in the hall': ['Amelia', 'Logan']}, {'Logan moved the cap to the drawer': ['Logan', 'Amelia']}, {'The drawer is in the hall': ['Amelia', 'Logan']}, {'Emma entered the hall': ['Emma', 'Amelia', 'Logan']}, {'Emma exited the hall': ['Emma', 'Amelia', 'Logan']}, {'Amelia exited the hall': ['Amelia', 'Logan']}, {'Logan exited the hall': ['Logan']}, {'Amelia entered the hall': ['Amelia']}]"
337,340,second_order_1_no_tom,"['Avery entered the porch', 'Carter entered the porch', 'The eggplant is in the crate', 'The crate is in the porch', 'Carter moved the eggplant to the bathtub', 'The bathtub is in the porch', 'Avery exited the porch', 'Carter exited the porch', 'Olivia entered the porch', 'Olivia exited the porch', 'Avery entered the closet', 'Carter likes the eggplant']","[['Avery'], ['Carter', 'Avery'], ['Avery', 'Carter'], ['Avery', 'Carter'], ['Carter', 'Avery'], ['Avery', 'Carter'], ['Avery', 'Carter'], ['Carter'], ['Olivia'], ['Olivia'], ['Avery'], ['Carter']]","[{'Avery entered the porch': ['Avery']}, {'Carter entered the porch': ['Carter', 'Avery']}, {'The eggplant is in the crate': ['Avery', 'Carter']}, {'The crate is in the porch': ['Avery', 'Carter']}, {'Carter moved the eggplant to the bathtub': ['Carter', 'Avery']}, {'The bathtub is in the porch': ['Avery', 'Carter']}, {'Avery exited the porch': ['Avery', 'Carter']}, {'Carter exited the porch': ['Carter']}, {'Olivia entered the porch': ['Olivia']}, {'Olivia exited the porch': ['Olivia']}, {'Avery entered the closet': ['Avery']}, {'Carter likes the eggplant': ['Carter']}]"
338,341,second_order_0_tom,"['Alexander entered the dining room', 'Alexander dislikes the pajamas', 'Elizabeth entered the dining room', 'The watermelon is in the container', 'The container is in the dining room', 'Elizabeth exited the dining room', 'Alexander moved the watermelon to the cupboard', 'The cupboard is in the dining room']","[['Alexander'], ['Alexander'], ['Elizabeth', 'Alexander'], ['Alexander', 'Elizabeth'], ['Alexander', 'Elizabeth'], ['Elizabeth', 'Alexander'], ['Alexander'], ['Alexander']]","[{'Alexander entered the dining room': ['Alexander']}, {'Alexander dislikes the pajamas': ['Alexander']}, {'Elizabeth entered the dining room': ['Elizabeth', 'Alexander']}, {'The watermelon is in the container': ['Alexander', 'Elizabeth']}, {'The container is in the dining room': ['Alexander', 'Elizabeth']}, {'Elizabeth exited the dining room': ['Elizabeth', 'Alexander']}, {'Alexander moved the watermelon to the cupboard': ['Alexander']}, {'The cupboard is in the dining room': ['Alexander']}]"
339,342,first_order_1_no_tom,"['Olivia loves the skirt', 'Olivia entered the workshop', 'Nathan is in the workshop', 'Jacob entered the workshop', 'Jacob exited the workshop', 'The peach is in the basket', 'The basket is in the workshop', 'Jacob dislikes the stockings', 'Olivia moved the peach to the box', 'The box is in the workshop', 'Nathan exited the workshop']","[['Olivia'], ['Olivia'], ['Nathan', 'Olivia'], ['Jacob', 'Olivia', 'Nathan'], ['Jacob', 'Olivia', 'Nathan'], ['Olivia', 'Nathan'], ['Olivia', 'Nathan'], ['Jacob'], ['Olivia', 'Nathan'], ['Olivia', 'Nathan'], ['Nathan', 'Olivia']]","[{'Olivia loves the skirt': ['Olivia']}, {'Olivia entered the workshop': ['Olivia']}, {'Nathan is in the workshop': ['Nathan', 'Olivia']}, {'Jacob entered the workshop': ['Jacob', 'Olivia', 'Nathan']}, {'Jacob exited the workshop': ['Jacob', 'Olivia', 'Nathan']}, {'The peach is in the basket': ['Olivia', 'Nathan']}, {'The basket is in the workshop': ['Olivia', 'Nathan']}, {'Jacob dislikes the stockings': ['Jacob']}, {'Olivia moved the peach to the box': ['Olivia', 'Nathan']}, {'The box is in the workshop': ['Olivia', 'Nathan']}, {'Nathan exited the workshop': ['Nathan', 'Olivia']}]"
340,343,first_order_1_no_tom,"['Lily entered the workshop', 'Aria likes the beans', 'Aria entered the workshop', 'The pumpkin is in the treasure chest', 'The treasure chest is in the workshop', 'Aria exited the workshop', 'Aria entered the workshop', 'Mia entered the workshop', 'Lily moved the pumpkin to the bucket', 'The bucket is in the workshop']","[['Lily'], ['Aria'], ['Aria', 'Lily'], ['Lily', 'Aria'], ['Lily', 'Aria'], ['Aria', 'Lily'], ['Aria', 'Lily'], ['Mia', 'Lily', 'Aria'], ['Lily', 'Aria', 'Mia'], ['Lily', 'Aria', 'Mia']]","[{'Lily entered the workshop': ['Lily']}, {'Aria likes the beans': ['Aria']}, {'Aria entered the workshop': ['Aria', 'Lily']}, {'The pumpkin is in the treasure chest': ['Lily', 'Aria']}, {'The treasure chest is in the workshop': ['Lily', 'Aria']}, {'Aria exited the workshop': ['Aria', 'Lily']}, {'Aria entered the workshop': ['Aria', 'Lily']}, {'Mia entered the workshop': ['Mia', 'Lily', 'Aria']}, {'Lily moved the pumpkin to the bucket': ['Lily', 'Aria', 'Mia']}, {'The bucket is in the workshop': ['Lily', 'Aria', 'Mia']}]"
342,346,second_order_0_tom,"['Ava is in the sunroom', 'Sophia entered the sunroom', 'The corn is in the bathtub', 'The bathtub is in the sunroom', 'Sophia exited the sunroom', 'Sophia entered the attic', 'Ava likes the shoes', 'Ava moved the corn to the treasure chest', 'The treasure chest is in the sunroom']","[['Ava'], ['Sophia', 'Ava'], ['Ava', 'Sophia'], ['Ava', 'Sophia'], ['Sophia', 'Ava'], ['Sophia'], ['Ava'], ['Ava'], ['Ava']]","[{'Ava is in the sunroom': ['Ava']}, {'Sophia entered the sunroom': ['Sophia', 'Ava']}, {'The corn is in the bathtub': ['Ava', 'Sophia']}, {'The bathtub is in the sunroom': ['Ava', 'Sophia']}, {'Sophia exited the sunroom': ['Sophia', 'Ava']}, {'Sophia entered the attic': ['Sophia']}, {'Ava likes the shoes': ['Ava']}, {'Ava moved the corn to the treasure chest': ['Ava']}, {'The treasure chest is in the sunroom': ['Ava']}]"
344,348,second_order_0_tom,"['Lily entered the hallway', 'Emily likes the dress', 'Hannah entered the hallway', 'The orange is in the container', 'The container is in the hallway', 'Lily exited the hallway', 'Emily entered the hallway', 'Hannah moved the orange to the suitcase', 'The suitcase is in the hallway', 'Hannah exited the hallway', 'Hannah dislikes the slippers', 'Lily entered the workshop']","[['Lily'], ['Emily'], ['Hannah', 'Lily'], ['Lily', 'Hannah'], ['Lily', 'Hannah'], ['Lily', 'Hannah'], ['Emily', 'Hannah'], ['Hannah', 'Emily'], ['Hannah', 'Emily'], ['Hannah', 'Emily'], ['Hannah'], ['Lily']]","[{'Lily entered the hallway': ['Lily']}, {'Emily likes the dress': ['Emily']}, {'Hannah entered the hallway': ['Hannah', 'Lily']}, {'The orange is in the container': ['Lily', 'Hannah']}, {'The container is in the hallway': ['Lily', 'Hannah']}, {'Lily exited the hallway': ['Lily', 'Hannah']}, {'Emily entered the hallway': ['Emily', 'Hannah']}, {'Hannah moved the orange to the suitcase': ['Hannah', 'Emily']}, {'The suitcase is in the hallway': ['Hannah', 'Emily']}, {'Hannah exited the hallway': ['Hannah', 'Emily']}, {'Hannah dislikes the slippers': ['Hannah']}, {'Lily entered the workshop': ['Lily']}]"
345,349,second_order_1_no_tom,"['Sophia loves the cucumber', 'Alexander entered the study', 'Ava entered the study', 'Sophia entered the study', 'Sophia likes the sweater', 'The gloves is in the envelope', 'The envelope is in the study', 'Alexander moved the gloves to the crate', 'The crate is in the study', 'Ava exited the study']","[['Sophia'], ['Alexander'], ['Ava', 'Alexander'], ['Sophia', 'Alexander', 'Ava'], ['Sophia'], ['Alexander', 'Ava', 'Sophia'], ['Alexander', 'Ava', 'Sophia'], ['Alexander', 'Ava', 'Sophia'], ['Alexander', 'Ava', 'Sophia'], ['Ava', 'Alexander', 'Sophia']]","[{'Sophia loves the cucumber': ['Sophia']}, {'Alexander entered the study': ['Alexander']}, {'Ava entered the study': ['Ava', 'Alexander']}, {'Sophia entered the study': ['Sophia', 'Alexander', 'Ava']}, {'Sophia likes the sweater': ['Sophia']}, {'The gloves is in the envelope': ['Alexander', 'Ava', 'Sophia']}, {'The envelope is in the study': ['Alexander', 'Ava', 'Sophia']}, {'Alexander moved the gloves to the crate': ['Alexander', 'Ava', 'Sophia']}, {'The crate is in the study': ['Alexander', 'Ava', 'Sophia']}, {'Ava exited the study': ['Ava', 'Alexander', 'Sophia']}]"
349,353,first_order_1_no_tom,"['Jayden entered the sunroom', 'Mason entered the sunroom', 'The asparagus is in the box', 'The box is in the sunroom', 'Mason moved the asparagus to the treasure chest', 'The treasure chest is in the sunroom', 'Jayden exited the sunroom', 'James entered the sunroom', 'Mason exited the sunroom', 'Jayden entered the sunroom', 'Jayden hates the melon']","[['Jayden'], ['Mason', 'Jayden'], ['Jayden', 'Mason'], ['Jayden', 'Mason'], ['Mason', 'Jayden'], ['Jayden', 'Mason'], ['Jayden', 'Mason'], ['James', 'Mason'], ['Mason', 'James'], ['Jayden', 'James'], ['Jayden']]","[{'Jayden entered the sunroom': ['Jayden']}, {'Mason entered the sunroom': ['Mason', 'Jayden']}, {'The asparagus is in the box': ['Jayden', 'Mason']}, {'The box is in the sunroom': ['Jayden', 'Mason']}, {'Mason moved the asparagus to the treasure chest': ['Mason', 'Jayden']}, {'The treasure chest is in the sunroom': ['Jayden', 'Mason']}, {'Jayden exited the sunroom': ['Jayden', 'Mason']}, {'James entered the sunroom': ['James', 'Mason']}, {'Mason exited the sunroom': ['Mason', 'James']}, {'Jayden entered the sunroom': ['Jayden', 'James']}, {'Jayden hates the melon': ['Jayden']}]"
351,355,second_order_1_no_tom,"['Owen entered the lounge', 'Hannah entered the lounge', 'The raincoat is in the bucket', 'The bucket is in the lounge', 'Logan entered the crawlspace', 'Owen moved the raincoat to the container', 'The container is in the lounge', 'Hannah exited the lounge', 'Owen hates the pajamas', 'Owen exited the lounge', 'Hannah entered the lounge']","[['Owen'], ['Hannah', 'Owen'], ['Owen', 'Hannah'], ['Owen', 'Hannah'], ['Logan'], ['Owen', 'Hannah'], ['Owen', 'Hannah'], ['Hannah', 'Owen'], ['Owen'], ['Owen'], ['Hannah']]","[{'Owen entered the lounge': ['Owen']}, {'Hannah entered the lounge': ['Hannah', 'Owen']}, {'The raincoat is in the bucket': ['Owen', 'Hannah']}, {'The bucket is in the lounge': ['Owen', 'Hannah']}, {'Logan entered the crawlspace': ['Logan']}, {'Owen moved the raincoat to the container': ['Owen', 'Hannah']}, {'The container is in the lounge': ['Owen', 'Hannah']}, {'Hannah exited the lounge': ['Hannah', 'Owen']}, {'Owen hates the pajamas': ['Owen']}, {'Owen exited the lounge': ['Owen']}, {'Hannah entered the lounge': ['Hannah']}]"
352,356,second_order_1_no_tom,"['Chloe entered the sunroom', 'Mia entered the sunroom', 'The radish is in the crate', 'The crate is in the sunroom', 'Mia moved the radish to the bathtub', 'The bathtub is in the sunroom', 'Chloe exited the sunroom', 'Noah entered the sunroom']","[['Chloe'], ['Mia', 'Chloe'], ['Chloe', 'Mia'], ['Chloe', 'Mia'], ['Mia', 'Chloe'], ['Chloe', 'Mia'], ['Chloe', 'Mia'], ['Noah', 'Mia']]","[{'Chloe entered the sunroom': ['Chloe']}, {'Mia entered the sunroom': ['Mia', 'Chloe']}, {'The radish is in the crate': ['Chloe', 'Mia']}, {'The crate is in the sunroom': ['Chloe', 'Mia']}, {'Mia moved the radish to the bathtub': ['Mia', 'Chloe']}, {'The bathtub is in the sunroom': ['Chloe', 'Mia']}, {'Chloe exited the sunroom': ['Chloe', 'Mia']}, {'Noah entered the sunroom': ['Noah', 'Mia']}]"
354,358,first_order_0_no_tom,"['Oliver entered the office', 'Carter entered the office', 'Owen loves the corn', 'The tangerine is in the envelope', 'The envelope is in the office', 'Owen entered the office', 'Oliver moved the tangerine to the treasure chest', 'The treasure chest is in the office', 'Carter exited the office', 'Owen hates the lettuce']","[['Oliver'], ['Carter', 'Oliver'], ['Owen'], ['Oliver', 'Carter'], ['Oliver', 'Carter'], ['Owen', 'Oliver', 'Carter'], ['Oliver', 'Carter', 'Owen'], ['Oliver', 'Carter', 'Owen'], ['Carter', 'Oliver', 'Owen'], ['Owen']]","[{'Oliver entered the office': ['Oliver']}, {'Carter entered the office': ['Carter', 'Oliver']}, {'Owen loves the corn': ['Owen']}, {'The tangerine is in the envelope': ['Oliver', 'Carter']}, {'The envelope is in the office': ['Oliver', 'Carter']}, {'Owen entered the office': ['Owen', 'Oliver', 'Carter']}, {'Oliver moved the tangerine to the treasure chest': ['Oliver', 'Carter', 'Owen']}, {'The treasure chest is in the office': ['Oliver', 'Carter', 'Owen']}, {'Carter exited the office': ['Carter', 'Oliver', 'Owen']}, {'Owen hates the lettuce': ['Owen']}]"
356,360,first_order_1_no_tom,"['Sophia entered the closet', 'Logan entered the closet', 'Ava entered the closet', 'Logan loves the shoes', 'The lemon is in the drawer', 'The drawer is in the closet', 'Ava hates the skirt', 'Sophia moved the lemon to the pantry', 'The pantry is in the closet', 'Logan exited the closet', 'Ava exited the closet']","[['Sophia'], ['Logan', 'Sophia'], ['Sophia', 'Logan', 'Ava'], ['Logan'], ['Sophia', 'Logan', 'Ava'], ['Sophia', 'Logan', 'Ava'], ['Ava'], ['Sophia', 'Logan', 'Ava'], ['Sophia', 'Logan', 'Ava'], ['Logan', 'Sophia', 'Ava'], ['Ava', 'Sophia']]","[{'Sophia entered the closet': ['Sophia']}, {'Logan entered the closet': ['Logan', 'Sophia']}, {'Ava entered the closet': ['Sophia', 'Logan', 'Ava']}, {'Logan loves the shoes': ['Logan']}, {'The lemon is in the drawer': ['Sophia', 'Logan', 'Ava']}, {'The drawer is in the closet': ['Sophia', 'Logan', 'Ava']}, {'Ava hates the skirt': ['Ava']}, {'Sophia moved the lemon to the pantry': ['Sophia', 'Logan', 'Ava']}, {'The pantry is in the closet': ['Sophia', 'Logan', 'Ava']}, {'Logan exited the closet': ['Logan', 'Sophia', 'Ava']}, {'Ava exited the closet': ['Ava', 'Sophia']}]"
357,361,first_order_0_no_tom,"['Nathan entered the pantry', 'James entered the pantry', 'The undershirt is in the bucket', 'The bucket is in the pantry', 'Emily entered the den', 'Nathan exited the pantry', 'Nathan entered the pantry', 'James moved the undershirt to the treasure chest', 'The treasure chest is in the pantry']","[['Nathan'], ['James', 'Nathan'], ['Nathan', 'James'], ['Nathan', 'James'], ['Emily'], ['Nathan', 'James'], ['Nathan', 'James'], ['James', 'Nathan'], ['James', 'Nathan']]","[{'Nathan entered the pantry': ['Nathan']}, {'James entered the pantry': ['James', 'Nathan']}, {'The undershirt is in the bucket': ['Nathan', 'James']}, {'The bucket is in the pantry': ['Nathan', 'James']}, {'Emily entered the den': ['Emily']}, {'Nathan exited the pantry': ['Nathan', 'James']}, {'Nathan entered the pantry': ['Nathan', 'James']}, {'James moved the undershirt to the treasure chest': ['James', 'Nathan']}, {'The treasure chest is in the pantry': ['James', 'Nathan']}]"
358,362,first_order_0_tom,"['Evelyn entered the hall', 'Olivia entered the hall', 'The boots is in the bottle', 'The bottle is in the hall', 'Evelyn dislikes the undershirt', 'Evelyn exited the hall', 'Olivia moved the boots to the basket', 'The basket is in the hall']","[['Evelyn'], ['Olivia', 'Evelyn'], ['Evelyn', 'Olivia'], ['Evelyn', 'Olivia'], ['Evelyn'], ['Evelyn', 'Olivia'], ['Olivia'], ['Olivia']]","[{'Evelyn entered the hall': ['Evelyn']}, {'Olivia entered the hall': ['Olivia', 'Evelyn']}, {'The boots is in the bottle': ['Evelyn', 'Olivia']}, {'The bottle is in the hall': ['Evelyn', 'Olivia']}, {'Evelyn dislikes the undershirt': ['Evelyn']}, {'Evelyn exited the hall': ['Evelyn', 'Olivia']}, {'Olivia moved the boots to the basket': ['Olivia']}, {'The basket is in the hall': ['Olivia']}]"
359,363,first_order_1_no_tom,"['Isla entered the dining room', 'Noah entered the dining room', 'The peach is in the box', 'The box is in the dining room', 'Aiden entered the dining room', 'Isla moved the peach to the drawer', 'The drawer is in the dining room', 'Noah exited the dining room', 'Isla exited the dining room', 'Noah entered the workshop']","[['Isla'], ['Noah', 'Isla'], ['Isla', 'Noah'], ['Isla', 'Noah'], ['Aiden', 'Isla', 'Noah'], ['Isla', 'Noah', 'Aiden'], ['Isla', 'Noah', 'Aiden'], ['Noah', 'Isla', 'Aiden'], ['Isla', 'Aiden'], ['Noah']]","[{'Isla entered the dining room': ['Isla']}, {'Noah entered the dining room': ['Noah', 'Isla']}, {'The peach is in the box': ['Isla', 'Noah']}, {'The box is in the dining room': ['Isla', 'Noah']}, {'Aiden entered the dining room': ['Aiden', 'Isla', 'Noah']}, {'Isla moved the peach to the drawer': ['Isla', 'Noah', 'Aiden']}, {'The drawer is in the dining room': ['Isla', 'Noah', 'Aiden']}, {'Noah exited the dining room': ['Noah', 'Isla', 'Aiden']}, {'Isla exited the dining room': ['Isla', 'Aiden']}, {'Noah entered the workshop': ['Noah']}]"
